         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion
   69   1.004818E+04   8.207954E-01   3.045E+14   7.835E+33   1.785E-01      6.657E-01   3.955E-01   7.093E-01   1.702E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.622E+08   1.639E+09   1.000E+00   00000   9.055E-01   9.055E-01  3p2   N/A    N/A    N/A 
   70   1.009649E+04   8.302022E-01   3.021E+14   7.604E+33   1.771E-01      6.631E-01   3.913E-01   7.057E-01   1.698E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.590E+08   1.683E+09   1.000E+00   00000   9.062E-01   9.062E-01  3p2   N/A    N/A    N/A 
   71   1.014434E+04   8.395198E-01   2.996E+14   7.376E+33   1.757E-01      6.607E-01   3.870E-01   7.023E-01   1.693E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.556E+08   1.726E+09   1.000E+00   00000   9.069E-01   9.069E-01  3p2   N/A    N/A    N/A 
   72   1.019174E+04   8.487503E-01   2.972E+14   7.149E+33   1.744E-01      6.582E-01   3.828E-01   6.988E-01   1.689E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.522E+08   1.769E+09   1.000E+00   00000   9.076E-01   9.076E-01  3p2   N/A    N/A    N/A 
   73   1.023871E+04   8.578958E-01   2.949E+14   6.925E+33   1.730E-01      6.557E-01   3.786E-01   6.953E-01   1.685E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.487E+08   1.811E+09   1.000E+00   00000   9.084E-01   9.084E-01  3p2   N/A    N/A    N/A 
   74   1.028525E+04   8.669580E-01   2.925E+14   6.703E+33   1.716E-01      6.533E-01   3.743E-01   6.919E-01   1.681E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.450E+08   1.852E+09   1.000E+00   00000   9.091E-01   9.091E-01  3p2   N/A    N/A    N/A 
   75   1.033137E+04   8.759390E-01   2.902E+14   6.483E+33   1.703E-01      6.509E-01   3.701E-01   6.885E-01   1.677E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.413E+08   1.893E+09   1.000E+00   00000   9.098E-01   9.098E-01  3p2   N/A    N/A    N/A 
   76   1.037709E+04   8.848404E-01   2.878E+14   6.264E+33   1.690E-01      6.485E-01   3.658E-01   6.852E-01   1.673E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.374E+08   1.933E+09   1.000E+00   00000   9.105E-01   9.105E-01  3p2   N/A    N/A    N/A 
   77   1.042241E+04   8.936475E-01   2.852E+14   6.059E+33   1.674E-01      6.457E-01   3.608E-01   6.813E-01   1.668E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.328E+08   1.979E+09   1.000E+00   00000   9.113E-01   9.113E-01  3p2   N/A    N/A    N/A 
   78   1.046733E+04   9.023623E-01   2.821E+14   5.865E+33   1.657E-01      6.425E-01   3.551E-01   6.769E-01   1.663E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.274E+08   2.030E+09   1.000E+00   00000   9.122E-01   9.122E-01  3p2   N/A    N/A    N/A 
   79   1.051187E+04   9.110031E-01   2.792E+14   5.673E+33   1.640E-01      6.394E-01   3.495E-01   6.725E-01   1.657E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.218E+08   2.081E+09   1.000E+00   00000   9.131E-01   9.131E-01  3p2   N/A    N/A    N/A 
   80   1.055604E+04   9.195713E-01   2.762E+14   5.482E+33   1.623E-01      6.363E-01   3.437E-01   6.681E-01   1.652E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.160E+08   2.132E+09   1.000E+00   00000   9.140E-01   9.140E-01  3p2   N/A    N/A    N/A 
   81   1.059984E+04   9.280683E-01   2.733E+14   5.293E+33   1.606E-01      6.332E-01   3.379E-01   6.638E-01   1.646E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.100E+08   2.182E+09   1.000E+00   00000   9.148E-01   9.148E-01  3p2   N/A    N/A    N/A 
